City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Georgetown,MY,5.4112,100.3354,26.61,88,20,1.03,few clouds
Mataura,NZ,-46.1927,168.8643,15.05,50,8,1.89,clear sky
Lorengau,PG,-2.0226,147.2712,27.97,80,97,3.65,overcast clouds
Semirom,IR,31.4167,51.5667,-1.11,72,1,1.29,clear sky
Trinidad,BO,-14.8333,-64.9,30.99,74,75,0.0,broken clouds
Yenagoa,NG,4.9247,6.2642,26.31,78,28,2.75,scattered clouds
Hermanus,ZA,-34.4187,19.2345,19.89,83,69,7.66,broken clouds
Bengkulu,ID,-3.8004,102.2655,23.68,91,77,2.32,broken clouds
Norman Wells,CA,65.282,-126.8329,-33.98,62,20,2.57,few clouds
Yellowknife,CA,62.456,-114.3525,-22.06,87,90,7.72,light snow
Saint-Philippe,RE,-21.3585,55.7679,26.77,88,100,0.99,overcast clouds
Jeremie,HT,18.65,-74.1167,26.55,78,26,2.53,scattered clouds
New Norfolk,AU,-42.7826,147.0587,12.72,56,90,1.79,overcast clouds
Puerto Ayora,EC,-0.7393,-90.3518,29.98,81,100,3.96,overcast clouds
Nanortalik,GL,60.1432,-45.2371,0.74,76,93,4.63,overcast clouds
Kodiak,US,57.79,-152.4072,5.73,65,20,0.0,few clouds
Honiara,SB,-9.4333,159.95,26.18,85,100,1.16,overcast clouds
Guozhen,CN,34.3659,107.359,-4.12,77,96,1.55,overcast clouds
Ihosy,MG,-22.4,46.1167,23.98,67,73,2.07,broken clouds
Gubkinskiy,RU,64.434,76.5026,-22.92,95,92,6.31,overcast clouds
Saint George,US,37.1041,-113.5841,13.22,50,75,1.34,broken clouds
Alofi,NU,-19.0595,-169.9187,27.94,78,75,4.12,light rain
Taoudenni,ML,22.6783,-3.9836,22.49,20,0,3.55,clear sky
Bluff,NZ,-46.6,168.3333,13.58,62,38,6.26,scattered clouds
Uruguaiana,BR,-29.7547,-57.0883,34.96,29,0,3.6,clear sky
The Valley,AI,18.217,-63.0578,27.92,73,20,4.63,few clouds
Mahebourg,MU,-20.4081,57.7,26.16,89,75,1.54,broken clouds
Shenjiamen,CN,29.9576,122.298,3.74,73,100,10.21,overcast clouds
Quatre Cocos,MU,-20.2078,57.7625,26.06,77,100,1.19,overcast clouds
Kabin Buri,TH,13.9511,101.7177,21.76,86,31,1.64,light rain
San Andres,CO,12.5847,-81.7006,30.01,70,20,4.63,few clouds
Vaitape,PF,-16.5167,-151.75,27.31,73,16,4.85,few clouds
Luderitz,NA,-26.6481,15.1594,17.32,82,0,3.58,clear sky
Fort Collins,US,40.5853,-105.0844,13.99,30,1,3.13,clear sky
Pevek,RU,69.7008,170.3133,-28.5,95,100,2.71,overcast clouds
Piacabucu,BR,-10.4056,-36.4344,25.2,89,100,2.73,moderate rain
Kurilsk,RU,45.2333,147.8833,-2.51,70,95,12.58,light snow
Grindavik,IS,63.8424,-22.4338,2.97,87,90,6.17,overcast clouds
Stettler,CA,52.3168,-112.7186,-26.14,70,100,4.12,overcast clouds
Lebu,CL,-37.6167,-73.65,17.18,74,0,9.99,clear sky
Taganak,PH,6.0833,118.3,25.08,79,99,2.81,overcast clouds
Vanimo,PG,-2.6741,141.3028,25.5,90,100,2.47,light rain
Khatanga,RU,71.9667,102.5,-27.77,95,94,3.0,overcast clouds
Fortuna,US,40.5982,-124.1573,9.81,91,40,0.89,scattered clouds
Beaverlodge,CA,55.2166,-119.4361,-30.36,88,100,3.57,overcast clouds
Chulman,RU,56.8479,124.9104,-25.89,98,100,1.83,overcast clouds
Dwarka,IN,22.2394,68.9678,22.41,80,5,3.28,clear sky
Havre-Saint-Pierre,CA,50.2334,-63.5986,1.2,69,1,4.12,clear sky
The Pas,CA,53.8251,-101.2541,-26.99,69,1,4.12,clear sky
Longyearbyen,SJ,78.2186,15.6401,-7.09,63,20,9.77,few clouds
Kaka,TM,37.3482,59.6143,1.69,92,100,2.75,light rain
Ponta Do Sol,PT,32.6667,-17.1,19.84,89,100,2.84,overcast clouds
Pisco,PE,-13.7,-76.2167,22.03,73,0,4.63,clear sky
Rocha,UY,-34.4833,-54.3333,24.66,66,19,7.15,few clouds
Muros,ES,42.7762,-9.0603,14.02,93,100,2.02,overcast clouds
Shingu,JP,33.7333,135.9833,5.51,83,40,5.92,scattered clouds
Carnarvon,AU,-24.8667,113.6333,24.04,88,40,4.63,scattered clouds
Jalu,LY,29.0331,21.5482,14.24,45,0,3.09,clear sky
Matadi,CD,-5.8167,13.45,26.86,78,96,1.71,overcast clouds
Porto Velho,BR,-8.7619,-63.9039,33.03,55,40,1.54,scattered clouds
Gualaquiza,EC,-3.4,-78.55,25.18,66,87,0.93,light rain
Sarkand,KZ,45.41,79.9186,-1.91,69,100,2.99,overcast clouds
Carlisle,US,40.2015,-77.1889,17.58,90,100,3.99,light rain
Tautira,PF,-17.7333,-149.15,30.01,72,27,6.97,scattered clouds
Narsaq,GL,60.9167,-46.05,7.12,51,100,7.83,overcast clouds
Mareeba,AU,-17.0,145.4333,23.05,95,100,0.75,moderate rain
Candelaria,PH,13.9311,121.4233,24.1,86,97,4.03,overcast clouds
Ishikawa,JP,26.4233,127.8214,15.19,75,90,7.2,overcast clouds
Ancud,CL,-41.8697,-73.8203,21.74,72,33,4.18,scattered clouds
Leningradskiy,RU,69.3833,178.4167,-24.91,98,100,1.96,light snow
Taksimo,RU,56.3444,114.8794,-22.67,86,98,1.44,overcast clouds
Lowestoft,GB,52.4752,1.7516,5.53,88,32,9.22,scattered clouds
Kaili,ID,-3.4626,120.2147,19.27,87,100,1.71,overcast clouds
Sheregesh,RU,52.9209,87.9869,-16.44,91,59,1.46,broken clouds
Barrow,US,71.2906,-156.7887,-30.99,76,90,1.54,overcast clouds
Karratha,AU,-20.7377,116.8463,27.73,57,87,7.18,overcast clouds
Victoria,HK,22.2855,114.1577,16.85,78,93,0.89,overcast clouds
Pangnirtung,CA,66.1451,-65.7125,-4.0,54,20,5.14,few clouds
Kaitangata,NZ,-46.2817,169.8464,15.52,56,18,1.89,few clouds
Sao Joao Da Barra,BR,-21.6403,-41.0511,26.05,72,10,5.55,clear sky
Campbell River,CA,50.0163,-125.2446,-2.6,86,90,4.12,light snow
Tual,ID,-5.6667,132.75,28.74,77,96,7.56,overcast clouds
Sao Sepe,BR,-30.1606,-53.5653,31.97,22,0,3.07,clear sky
Makakilo City,US,21.3469,-158.0858,25.18,59,1,3.09,clear sky
Edmonton,CA,53.5501,-113.4687,-24.68,71,90,0.89,light snow
Rostov-Na-Donu,RU,47.2364,39.7139,5.05,98,100,4.75,overcast clouds
Husavik,IS,66.0449,-17.3389,-5.05,91,100,5.68,light snow
Portland,US,45.5234,-122.6762,5.5,91,90,0.45,light rain
Raudeberg,NO,61.9875,5.1352,1.22,96,100,1.56,light snow
Fukue,JP,32.6881,128.8419,3.56,72,100,14.97,overcast clouds
Kirakira,SB,-10.4544,161.9205,27.53,82,100,2.09,overcast clouds
Port Elizabeth,ZA,-33.918,25.5701,20.16,88,0,3.6,light rain
Verkhnyaya Inta,RU,65.9811,60.3094,-14.8,96,100,2.11,light snow
Provideniya,RU,64.3833,-173.3,-11.31,91,100,3.96,overcast clouds
Edd,ER,13.9297,41.6925,25.79,68,0,3.43,clear sky
Qaanaaq,GL,77.484,-69.3632,-10.23,76,100,1.1,overcast clouds
Impfondo,CG,1.6381,18.0667,22.74,95,94,1.47,moderate rain
Glendive,US,47.1053,-104.7125,-9.65,84,90,5.14,light snow
Padang,ID,-0.9492,100.3543,24.85,88,75,1.66,broken clouds
Kabanjahe,ID,3.1001,98.4908,17.42,95,77,0.4,broken clouds
Guanare,VE,9.0418,-69.7421,34.01,75,12,3.09,few clouds
Sur,OM,22.5667,59.5289,22.78,66,30,0.34,scattered clouds
Port Alfred,ZA,-33.5906,26.891,21.39,91,100,9.71,light rain
Kruisfontein,ZA,-34.0033,24.7314,17.16,93,100,2.48,overcast clouds
Naryan-Mar,RU,67.6713,53.087,-23.43,99,92,2.46,overcast clouds
Calvinia,ZA,-31.4707,19.776,20.85,52,8,2.5,clear sky
Oktyabrskiy,RU,54.4815,53.471,-8.3,88,100,12.55,overcast clouds
Burdur,TR,37.7203,30.2908,4.29,86,75,0.0,broken clouds
Port-Gentil,GA,-0.7193,8.7815,26.98,83,40,3.6,scattered clouds
Mount Pleasant,US,32.7941,-79.8626,23.94,62,1,3.13,clear sky
Alamosa,US,37.4695,-105.87,6.99,26,1,7.72,clear sky
Saldanha,ZA,-33.0117,17.9442,21.03,88,48,1.56,scattered clouds
Lompoc,US,34.6391,-120.4579,15.07,62,90,5.14,overcast clouds
Saskylakh,RU,71.9167,114.0833,-34.79,100,41,1.09,scattered clouds
Talnakh,RU,69.4865,88.3972,-15.44,96,100,3.47,overcast clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,19.0,94,100,9.27,overcast clouds
Bethel,US,41.3712,-73.414,8.36,91,90,0.0,mist
Tchollire,CM,8.4022,14.1698,23.79,22,7,0.47,clear sky
Pacific Grove,US,36.6177,-121.9166,14.06,79,75,4.02,broken clouds
Locri,IT,38.2414,16.2623,16.57,76,100,1.27,overcast clouds
Riberalta,BO,-10.9833,-66.1,34.11,55,40,3.09,scattered clouds
Namibe,AO,-15.1961,12.1522,20.88,69,14,3.78,few clouds
Katobu,ID,-4.9408,122.5276,24.86,91,100,1.53,overcast clouds
Aklavik,CA,68.2191,-135.0107,-26.54,93,14,3.87,few clouds
Mar Del Plata,AR,-38.0023,-57.5575,23.01,78,0,5.81,clear sky
Dapitan,PH,8.6464,123.4208,26.29,85,100,6.28,overcast clouds
Ola,RU,59.5833,151.2833,-28.97,85,14,4.89,few clouds
Takoradi,GH,4.8845,-1.7554,27.19,81,27,3.59,scattered clouds
Bagado,CO,5.4116,-76.4152,26.6,91,87,1.39,overcast clouds
Nizhniy Tsasuchey,RU,50.5167,115.1333,-22.62,93,50,1.89,scattered clouds
Vila Velha,BR,-20.3297,-40.2925,24.97,77,0,4.92,clear sky
Tiksi,RU,71.6872,128.8694,-22.92,99,100,2.5,overcast clouds
Tura,IN,25.5198,90.2201,13.0,68,20,1.56,few clouds
Paamiut,GL,61.994,-49.6678,-1.23,68,4,4.22,clear sky
Kavaratti,IN,10.5669,72.642,27.57,66,12,4.71,few clouds
Kijang,KR,35.2442,129.2139,-7.15,47,0,6.72,clear sky
Tamandare,BR,-8.7597,-35.1047,27.15,79,100,5.83,overcast clouds
Innisfail,AU,-17.5333,146.0333,25.3,88,98,1.32,moderate rain
Alakurtti,RU,66.9672,30.3491,-14.65,87,100,3.54,overcast clouds
Kaeo,NZ,-35.1,173.7833,21.85,89,100,2.95,overcast clouds
Finote Selam,ET,10.7,37.2667,17.27,61,95,0.78,overcast clouds
San Buenaventura,MX,27.0833,-101.5333,34.71,13,53,1.52,broken clouds
Hami,CN,42.8,93.45,-4.82,25,0,2.0,clear sky
Evensk,RU,61.95,159.2333,-28.57,76,20,5.15,few clouds
Iskateley,RU,67.6803,53.1512,-20.61,98,95,2.48,overcast clouds
Khani,GE,41.9563,42.9566,-1.24,86,99,2.37,overcast clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,24.98,65,40,4.63,scattered clouds
Airai,TL,-8.9266,125.4092,15.56,95,100,1.76,overcast clouds
Palu,ID,-0.8917,119.8707,23.67,94,100,0.7,overcast clouds
Praia Da Vitoria,PT,38.7333,-27.0667,19.14,94,75,13.56,broken clouds
Dunedin,NZ,-45.8742,170.5036,17.01,59,3,0.85,clear sky
Bambous Virieux,MU,-20.3428,57.7575,26.14,89,75,1.54,broken clouds
Tondon,GN,10.3667,-13.35,25.64,55,94,0.66,overcast clouds
San Quintin,MX,30.4833,-115.95,16.01,65,100,1.58,overcast clouds
Eldorado,BR,-23.7869,-54.2836,36.16,22,1,3.76,clear sky
Ribeira Grande,PT,38.5167,-28.7,18.22,94,75,9.77,light intensity drizzle
Pirgos,GR,35.1167,25.7178,12.49,70,7,1.88,clear sky
Berlevag,NO,70.8578,29.0864,-1.41,80,100,11.26,light snow
Ixtapa,MX,20.7,-105.2,24.57,69,1,3.09,clear sky
Cidreira,BR,-30.1811,-50.2056,23.27,75,34,7.53,scattered clouds
Kizlyar,RU,43.8469,46.715,1.3,79,90,5.0,overcast clouds
Gweta,BW,-20.1833,25.2333,22.61,72,100,7.38,light rain
Beringovskiy,RU,63.05,179.3167,-16.31,93,100,4.82,overcast clouds
Paidha,UG,2.4167,30.9855,17.94,87,100,1.32,light rain
Moindou,NC,-21.6924,165.677,25.97,71,71,1.95,broken clouds
Klaksvik,FO,62.2266,-6.589,2.51,69,96,7.39,overcast clouds
Jiazi,CN,22.8779,116.067,14.66,75,100,9.52,overcast clouds
Iqaluit,CA,63.7506,-68.5145,-17.15,77,40,10.73,scattered clouds
Mikhaylovka,RU,50.06,43.2379,2.1,98,100,3.9,overcast clouds
Caravelas,BR,-17.7125,-39.2481,22.27,93,100,2.72,light rain
Coihaique,CL,-45.5752,-72.0662,22.97,33,40,3.09,scattered clouds
Chapais,CA,49.7834,-74.8492,-13.12,88,100,2.37,overcast clouds
Kavieng,PG,-2.5744,150.7967,27.65,82,94,2.63,moderate rain
Borovnica,SI,45.9158,14.3631,10.59,96,100,0.83,light rain
Geraldton,AU,-28.7667,114.6,23.23,68,11,3.6,few clouds
Den Helder,NL,52.9599,4.7593,-2.01,68,0,6.71,clear sky
Ulladulla,AU,-35.35,150.4667,19.87,93,100,4.42,overcast clouds
Navrongo,GH,10.8956,-1.0921,27.82,18,100,2.88,overcast clouds
Lokoja,NG,7.8024,6.743,28.54,26,5,0.38,clear sky
Margate,GB,51.3813,1.3862,6.65,92,100,0.89,overcast clouds
Clyde River,CA,70.4692,-68.5914,-16.87,85,100,9.77,mist
Pozo Colorado,PY,-23.4923,-58.7972,39.27,12,28,1.83,scattered clouds
Tessalit,ML,20.1986,1.0114,19.46,14,3,3.01,clear sky
Lazaro Cardenas,MX,17.9583,-102.2,27.74,63,0,3.9,clear sky
Roma,US,43.2128,-75.4557,5.4,95,90,1.54,mist
Port-Cartier,CA,50.0334,-66.8654,-1.88,86,6,3.12,clear sky
Hamilton,US,39.1834,-84.5333,20.69,72,90,2.24,overcast clouds
Kahului,US,20.8947,-156.47,26.01,66,20,6.69,few clouds
Beba,CU,22.4437,-79.7253,27.15,68,22,5.36,few clouds
Remedios,CU,22.4947,-79.5458,27.51,72,10,5.97,clear sky
Chunoyar,RU,57.4467,97.3217,-22.0,93,81,1.7,broken clouds
Palos Heights,US,41.6681,-87.7964,10.64,60,20,1.79,few clouds
Holme,DK,56.1138,10.1725,-2.98,89,9,3.54,clear sky
Severo-Kurilsk,RU,50.6789,156.125,-0.58,96,100,10.85,snow
Westport,US,41.1415,-73.3579,9.86,97,90,0.45,overcast clouds
Cururupu,BR,-1.8283,-44.8683,27.14,75,100,1.95,overcast clouds
Freeport,US,40.6576,-73.5832,10.68,79,90,2.24,overcast clouds
Polovinnoye,RU,54.7914,65.9864,-25.35,97,6,3.03,clear sky
Pilar,BR,-9.5972,-35.9567,27.96,73,100,3.39,overcast clouds
Konispol,AL,39.6589,20.1814,10.56,84,100,3.89,overcast clouds
Vardo,NO,70.3705,31.1107,-1.3,74,100,12.17,light snow
Anjozorobe,MG,-18.4,47.8667,20.18,95,98,1.58,overcast clouds
Shieli,KZ,44.1667,66.75,-1.6,96,100,6.29,snow
Maneromango,TZ,-7.1988,38.7848,23.86,97,30,1.62,scattered clouds
Cabo San Lucas,MX,22.8909,-109.9124,30.84,46,1,2.06,clear sky
Faanui,PF,-16.4833,-151.75,27.32,74,14,4.65,few clouds
San Policarpo,PH,12.1791,125.5072,26.2,84,98,7.04,overcast clouds
Yulara,AU,-25.2406,130.9889,23.91,31,5,2.57,clear sky
Senneterre,CA,48.3835,-77.2328,-4.88,97,100,1.39,light snow
Tuatapere,NZ,-46.1333,167.6833,18.79,54,6,4.48,clear sky
Sovetskiy,RU,61.3614,63.5842,-18.69,94,85,4.0,overcast clouds
Ludvika,SE,60.1496,15.1878,-2.59,68,13,5.03,few clouds
Suicheng,CN,33.8963,117.9331,-8.91,43,61,2.74,broken clouds
Oistins,BB,13.0667,-59.5333,28.05,61,40,7.2,scattered clouds
Inirida,CO,3.8653,-67.9239,30.3,71,97,0.68,overcast clouds
Hudson Bay,CA,52.85,-102.3842,-22.01,84,97,3.11,overcast clouds
Isangel,VU,-19.55,169.2667,28.06,83,20,0.0,few clouds
Matagami,CA,49.7502,-77.6328,-6.94,93,90,5.14,light snow
Lagos,NG,6.5833,3.75,26.52,83,36,1.7,scattered clouds
Atar,MR,20.5169,-13.0499,21.93,20,0,4.05,clear sky
Grootfontein,NA,-19.5667,18.1167,24.76,36,27,2.06,scattered clouds
Fukuma,JP,33.7667,130.4667,2.0,57,97,9.19,overcast clouds
Baiyin,CN,36.5583,104.2081,-16.51,70,74,1.65,broken clouds
Concepcion,CL,-36.827,-73.0498,23.89,50,0,7.2,clear sky
Bilma,NE,18.6853,12.9164,18.12,19,85,2.41,overcast clouds
Nome,US,64.5011,-165.4064,0.04,93,90,1.54,overcast clouds
Pokrovsk,UA,48.282,37.1758,-0.13,99,100,2.6,snow
Andijon,UZ,40.7821,72.3442,2.92,35,100,2.05,overcast clouds
Abu Samrah,SY,35.3029,37.1841,6.13,69,1,1.99,clear sky
Kampong Chhnang,KH,12.1667,104.55,21.99,95,94,2.13,overcast clouds
Nagybajom,HU,46.3923,17.5115,4.08,89,100,3.91,light rain
Bicester,GB,51.9,-1.1536,6.59,96,100,7.58,moderate rain
Gao,ML,16.6362,1.637,22.71,12,100,4.33,overcast clouds
Churapcha,RU,62.0025,132.4325,-45.27,99,97,0.86,overcast clouds
Inuvik,CA,68.3499,-133.7218,-26.52,73,1,3.09,clear sky
Barentu,ER,15.1139,37.5928,20.39,67,14,1.66,few clouds
Adrar,MR,20.5022,-10.0711,20.32,21,0,4.23,clear sky
Bullhead City,US,35.1478,-114.5683,16.78,58,40,6.17,scattered clouds
Waingapu,ID,-9.6567,120.2641,26.33,84,100,3.66,overcast clouds
Kropotkin,RU,45.4375,40.5756,4.65,82,100,6.7,overcast clouds
Saint-Augustin,CA,51.226,-58.6502,-3.19,82,76,5.35,broken clouds
Thunder Bay,CA,48.4001,-89.3168,-9.69,52,75,5.14,broken clouds
Draganesti-Vlasca,RO,44.1014,25.5981,10.53,79,36,2.52,scattered clouds
Alenquer,BR,-1.9417,-54.7383,27.19,78,100,0.94,overcast clouds
Harper,LR,4.375,-7.7169,26.87,80,53,3.36,broken clouds
Moron,AR,-34.6534,-58.6198,31.68,48,5,2.68,clear sky
Zhezkazgan,KZ,47.8043,67.7144,-11.85,89,100,5.37,overcast clouds
Vestmannaeyjar,IS,63.4427,-20.2734,4.76,73,95,5.64,overcast clouds
Kalianget,ID,-7.05,113.9333,26.4,84,100,3.43,light rain
Eureka,US,40.8021,-124.1637,9.96,84,72,1.79,broken clouds
Guiratinga,BR,-16.3494,-53.7583,27.03,71,58,1.7,broken clouds
Qaqortoq,GL,60.7167,-46.0333,7.28,59,100,5.94,overcast clouds
Imperial,US,33.0334,-115.4175,18.38,42,100,6.8,overcast clouds
Shorapur,IN,16.5167,76.75,20.79,50,0,1.95,clear sky
Asau,RO,46.4333,26.4,0.53,100,100,1.07,light snow
Lagoa,PT,39.05,-27.9833,17.83,86,100,13.91,overcast clouds
Mayo,US,38.8876,-76.5119,21.18,55,1,1.34,clear sky
Talawakele,LK,6.9371,80.6581,12.53,51,76,1.63,broken clouds
Moorhead,US,46.8739,-96.7676,-12.79,79,90,2.24,light snow
Kutum,SD,14.2,24.6667,15.85,21,1,3.34,clear sky
Moose Factory,CA,51.2585,-80.6094,-6.0,86,90,2.57,light snow
Sakakah,SA,29.9697,40.2064,9.76,66,17,3.52,few clouds
Tambura,SS,5.6,27.4667,28.09,23,99,3.17,overcast clouds
Zhigansk,RU,66.7697,123.3711,-41.64,99,100,2.41,overcast clouds
Burgeo,CA,47.6167,-57.6152,-1.95,75,16,7.67,few clouds
Black River,JM,18.0264,-77.8487,28.88,65,76,1.32,broken clouds
Maldonado,UY,-34.6667,-54.9167,23.66,68,11,7.1,few clouds
Beian,NO,63.6559,9.5683,2.78,93,40,5.14,scattered clouds
Port Blair,IN,11.6667,92.75,24.82,75,36,3.56,scattered clouds
Polyarnyy,RU,69.1989,33.4478,-10.74,94,99,3.39,overcast clouds
Lardos,GR,36.0942,28.0157,13.9,70,7,1.32,clear sky
Coquimbo,CL,-29.9533,-71.3436,19.85,68,0,6.17,clear sky
Xapuri,BR,-10.6517,-68.5044,28.86,68,100,1.12,overcast clouds
Huilong,CN,31.8111,121.655,-1.09,67,57,7.7,broken clouds
Bembereke,BJ,10.2283,2.6634,25.2,21,48,2.29,scattered clouds
Tiznit,MA,29.5833,-9.5,14.03,84,96,1.1,overcast clouds
Eaglesfield,GB,54.6406,-3.4044,3.74,76,99,8.05,overcast clouds
Srednekolymsk,RU,67.45,153.6833,-32.7,97,100,3.91,overcast clouds
Bossangoa,CF,6.4926,17.4552,25.71,28,74,1.31,broken clouds
San Cristobal,VE,7.7669,-72.225,23.1,53,57,1.14,broken clouds
Jumla,NP,29.2747,82.1838,-0.93,89,60,1.51,broken clouds
Verkhoyansk,RU,67.5447,133.385,-43.31,100,100,0.84,overcast clouds
Nacala,MZ,-14.5428,40.6728,25.99,86,51,2.8,broken clouds
Caibarien,CU,22.5206,-79.4669,27.62,74,6,6.49,clear sky
Alexandria,EG,31.2156,29.9553,13.98,72,40,1.03,scattered clouds
Kalmunai,LK,7.4167,81.8167,23.93,71,96,3.13,overcast clouds
Sierra Vista,US,31.5545,-110.3037,18.1,26,40,5.66,scattered clouds
Codrington,AU,-38.2667,141.9667,14.17,67,100,7.04,overcast clouds
Senanga,ZM,-16.1167,23.2667,20.77,76,99,1.49,overcast clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,16.86,92,20,0.45,few clouds
Ust-Karsk,RU,52.7011,118.8077,-31.78,98,25,1.07,scattered clouds
Caconda,AO,-13.7333,15.0667,18.24,75,95,2.62,overcast clouds
Chiari,IT,45.5359,9.9304,6.04,57,100,0.45,moderate rain
Miquelon,PM,47.0975,-56.3814,-1.0,64,99,11.21,overcast clouds
Emmett,US,43.8735,-116.4993,3.16,78,100,0.45,overcast clouds
Peruibe,BR,-24.32,-46.9983,23.04,70,26,3.28,scattered clouds
Marshall,US,34.3834,-86.3333,21.08,71,90,1.34,overcast clouds
Almonte,ES,37.2647,-6.5167,15.25,91,99,4.8,overcast clouds
Sisimiut,GL,66.9395,-53.6735,-6.12,61,0,3.14,clear sky
Saint-Georges,GD,12.0564,-61.7485,28.82,65,20,9.77,few clouds
Southern Pines,US,35.174,-79.3923,22.66,59,1,4.12,clear sky
